id,longitude,latitude
531,611398.191, 6875515.571
532,611401.84, 6875515.513
533,611405.436, 6875512.498
534,611409.085, 6875512.441
535,611412.735, 6875512.383
536,611416.385, 6875512.326
537,611420.034, 6875512.269
538,611423.684, 6875512.211
539,611427.333, 6875512.154
540,611430.983, 6875512.097
541,611434.632, 6875512.04
542,611438.282, 6875511.982
543,611441.946, 6875512.906
544,611445.595, 6875512.848
545,611449.245, 6875512.791
546,611452.895, 6875512.734
547,611767.683, 6875820.866
548,611771.328, 6875820.688
549,611774.974, 6875820.51
550,611778.62, 6875820.331
551,611782.245, 6875819.745
552,611785.891, 6875819.566
553,611789.537, 6875819.388
554,611793.182, 6875819.21
555,611796.828, 6875819.031
556,611800.474, 6875818.853
557,611804.119, 6875818.675
558,611807.765, 6875818.497
559,611811.411, 6875818.318
560,611815.056, 6875818.14
561,611818.702, 6875817.962
562,611822.348, 6875817.783
563,611825.993, 6875817.605
564,611829.639, 6875817.427
565,611833.284, 6875817.248
566,611836.93, 6875817.07
567,611840.576, 6875816.892
568,611844.241, 6875817.122
569,611847.887, 6875816.944
570,611851.533, 6875816.765
571,611855.178, 6875816.587
572,611877.067, 6875866.652
573,611880.712, 6875866.474
574,611884.358, 6875866.295
575,611888.003, 6875866.117
576,611891.599, 6875864.907
577,611895.244, 6875864.729
578,611900.336, 6875894.128
579,611903.982, 6875893.95
580,611907.628, 6875893.771
581,611911.273, 6875893.593
582,611914.899, 6875893.006
583,611918.545, 6875892.828
584,611922.19, 6875892.65
585,611925.836, 6875892.471
586,611929.482, 6875892.293
587,611933.127, 6875892.115
588,611936.773, 6875891.936
589,611940.419, 6875891.758
590,611944.064, 6875891.58
591,611947.71, 6875891.402
592,611951.356, 6875891.223
593,611955.001, 6875891.045
594,611958.647, 6875890.867
595,611962.292, 6875890.688
596,611965.938, 6875890.51
597,611969.584, 6875890.332
598,611973.229, 6875890.153
599,611976.875, 6875889.975
600,611980.521, 6875889.797
601,611984.166, 6875889.619
602,611987.812, 6875889.44
603,611991.458, 6875889.262
604,611995.103, 6875889.084
605,611998.749, 6875888.905
606,612002.395, 6875888.727
607,612006.04, 6875888.549
608,612009.686, 6875888.37
609,612013.331, 6875888.192
610,612016.977, 6875888.014
611,612020.623, 6875887.836
612,612024.268, 6875887.657
613,612027.914, 6875887.479
614,612031.56, 6875887.301
615,612035.205, 6875887.122
616,612038.851, 6875886.944
617,612042.497, 6875886.766
618,612046.142, 6875886.587
619,612049.788, 6875886.409
620,612053.433, 6875886.231
621,612057.099, 6875886.461
622,612060.745, 6875886.283
623,612064.39, 6875886.104
624,612068.036, 6875885.926
